animal,país,cidade do Brasil,nome feminino,nome masculino
andorinha,Argentina,Caraguatatuba,Alice,Augusto
borboleta,Dinamarca,Fortaleza,Clarice,Bernardo
camundongo,Espanha,Guarulhos,Giovanna,Eduardo
escaravelho,Filipinas,Itaquaquecetuba,Helena,Francisco
formiga,Honduras,Londrina,Isabella,Guilherme
gafanhoto,Jamaica,Pindamonhangaba,Laura,Henrique
joaninha,Luxemburgo,Piracicaba,Manuela,Joaquim
lagartixa,Marrocos,Salvador,Marina,Leonardo
ornitorrinco,Noruega,Sorocaba,Sophia,Matheus
rinoceronte,Paraguai,Teresina,Valentina,Miguel
